Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",3/17/2016,"b'House Hearing, 114th Congress - An Overview of the Budget Proposal for the National Aeronautics and Space Administration for...'",CHRG-114hhrg20838.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20838/html/CHRG-114hhrg20838.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",4/14/2016,"b""House Hearing, 114th Congress - CAN THE IRS PROTECT TAXPAYERS' PERSONAL INFORMATION?""",CHRG-114hhrg20842.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20842/html/CHRG-114hhrg20842.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",4/20/2016,"b'House Hearing, 114th Congress - AN OVERVIEW OF FUSION ENERGY SCIENCE'",CHRG-114hhrg20871.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20871/html/CHRG-114hhrg20871.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",5/12/2016,"b'House Hearing, 114th Congress - Fdic Data Breaches: Can Americans Trust That Their Private Banking Information Is Secure?'",CHRG-114hhrg20874.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20874/html/CHRG-114hhrg20874.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",5/18/2016,"b'House Hearing, 114th Congress - Next Step to Mars: Deep Space Habitats'",CHRG-114hhrg20875.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20875/html/CHRG-114hhrg20875.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",6/15/2016,"b'House Hearing, 114th Congress - INNOVATION IN SOLAR FUELS, ELECTRICITY STORAGE, AND ADVANCED MATERIALS'",CHRG-114hhrg20879.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20879/html/CHRG-114hhrg20879.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",6/16/2016,"b'House Hearing, 114th Congress - Sbir/sttr Reauthorization: A Review of Technology Transfer'",CHRG-114hhrg20913.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20913/html/CHRG-114hhrg20913.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",6/22/2016,"b'House Hearing, 114th Congress - Ensuring Sound Science at Epa'",CHRG-114hhrg20914.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20914/html/CHRG-114hhrg20914.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",7/7/2016,"b""House Hearing, 114th Congress - EXAMINING THE NATION'S CURRENT AND NEXT GENERATION WEATHER SATELLITE PROGRAMS""",CHRG-114hhrg20915.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20915/html/CHRG-114hhrg20915.htm
114th Congress (2015 - 2016),House Hearings,Committee on Natural Resources,7/12/2016,"b'House Hearing, 114th Congress - OVERSIGHT HEARING ON CHANGING DEMANDS AND WATER SUPPLY UNCERTAINTY IN CALIFORNIA'",CHRG-114hhrg20918.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20918/html/CHRG-114hhrg20918.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,6/3/2015,"b'House Hearing, 114th Congress - PROTECTING THE SAFETY NET FROM WASTE, FRAUD, AND ABUSE'",CHRG-114hhrg21284.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21284/html/CHRG-114hhrg21284.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,3/1/2016,"b'House Hearing, 114th Congress - GETTING INCENTIVES RIGHT: CONNECTING LOW-INCOME INDIVIDUALS WITH JOBS'",CHRG-114hhrg21287.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21287/html/CHRG-114hhrg21287.htm
114th Congress (2015 - 2016),House Hearings,Committee on House Administration,5/17/2016,"b'House Hearing, 114th Congress - MARKUP ON COMMITTEE RESOLUTION 114, H.R. 5160, H.R. 4511, H.R. 4092, H.R. 4733, H.R. 5227, AND H...'",CHRG-114hhrg21309.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21309/html/CHRG-114hhrg21309.htm
